day,sku_0_demand,sku_1_demand,sku_2_demand
0,4,2,2
1,2,1,0
2,4,0,2
3,3,1,1
4,9,0,1
5,8,0,1
6,8,1,2
7,4,2,0
8,2,0,0
9,9,2,2
10,0,3,0
11,2,5,2
12,0,3,1
13,0,1,3
14,1,1,3
15,0,5,2
16,3,1,1
17,1,2,1
18,5,4,0
19,3,1,0
20,2,1,1
21,2,1,0
22,3,1,2
23,0,3,0
24,4,1,1
25,3,3,0
26,1,0,3
27,1,1,2
28,0,0,0
29,0,0,0
30,2,0,1
31,0,1,0
32,1,1,3
33,1,1,0
34,3,2,0
35,4,0,0
36,0,1,0
37,3,2,0
38,1,0,0
39,2,1,1
40,1,1,2
41,3,1,1
42,0,1,0
43,1,1,0
44,3,0,0
45,2,1,1
46,5,2,0
47,3,2,0
48,7,7,0
49,6,0,1
50,5,6,0
51,5,3,0
52,1,3,1
53,3,3,1
54,2,3,1
55,1,2,0
56,0,1,0
57,1,0,0
58,2,1,1
59,7,2,0
60,2,0,0
61,4,1,0
62,1,0,0
63,3,2,0
64,0,0,1
65,0,2,0
66,1,1,0
67,1,0,1
68,1,1,0
69,2,4,1
70,2,1,0
71,2,3,0
72,0,0,0
73,1,0,0
74,2,0,0
75,1,1,0
76,0,2,1
77,1,2,0
78,0,0,0
79,2,0,1
80,1,0,1
81,1,0,1
82,0,0,0
83,0,3,1
84,1,1,1
85,3,1,0
86,0,1,1
87,2,1,0
88,3,1,3
89,2,2,1
90,4,1,1
91,0,3,3
92,1,4,1
93,1,1,2
94,3,0,1
95,1,0,0
96,2,1,1
97,0,1,1
98,2,2,2
99,2,0,0
100,3,1,2
101,1,0,0
102,1,0,0
103,4,3,4
104,0,0,0
105,1,0,1
106,2,3,2
107,0,1,1
108,0,0,1
109,3,0,4
110,1,0,0
111,1,1,1
112,0,1,1
113,0,1,0
114,4,1,1
115,2,3,1
116,1,0,1
117,0,0,0
118,2,2,4
119,0,0,1
120,1,0,0
121,2,5,0
122,1,0,0
123,0,0,1
124,2,2,0
125,1,0,0
126,0,0,2
127,1,0,0
128,1,0,0
129,3,0,0
130,3,0,0
131,2,0,0
132,2,0,0
133,1,1,0
134,2,0,0
135,1,0,4
136,0,0,0
137,1,0,2
138,0,0,0
139,0,1,2
140,2,1,3
141,1,4,0
142,0,1,0
143,1,1,0
144,0,1,0
145,1,4,1
146,0,0,0
147,1,0,2
148,1,0,0
149,0,0,1
150,0,1,3
151,0,0,1
152,0,0,0
153,0,0,0
154,1,0,0
155,0,1,0
156,1,1,3
157,1,1,1
158,0,0,0
159,0,0,0
160,1,2,3
161,1,0,1
162,2,0,0
163,1,0,1
164,0,0,1
165,1,0,0
166,1,0,1
167,0,0,2
168,2,1,0
169,0,0,0
170,0,1,1
171,0,0,0
172,0,1,0
173,3,0,2
174,1,0,1
175,1,0,1
176,0,0,0
177,1,0,1
178,0,1,0
179,2,0,0
180,0,0,0
181,1,0,1
182,1,1,1
183,0,1,0
184,0,0,0
185,0,1,1
186,1,0,0
187,0,0,2
188,0,0,1
189,0,0,0
190,0,0,0
191,0,0,1
192,0,0,1
193,2,0,0
194,1,0,0
195,0,1,1
196,1,0,0
197,0,0,0
198,1,0,1
199,0,0,1
200,1,1,0
201,0,0,1
202,0,0,0
203,0,0,1
204,0,0,0
205,0,0,0
206,0,0,0
207,1,0,0
208,0,0,0
209,1,0,0
210,0,0,0
211,1,1,0
212,10,0,0
213,7,1,2
214,16,0,0
215,3,2,1
216,3,0,2
217,14,0,0
218,10,1,1
219,5,0,0
220,1,3,0
221,0,2,0
222,0,0,0
223,0,2,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,2,0
228,0,0,0
229,0,0,1
230,0,0,1
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,2,0,0
237,2,0,0
238,1,0,1
239,0,0,0
240,0,0,0
241,1,0,0
242,1,0,0
243,0,0,0
244,0,0,1
245,0,0,0
246,2,0,0
247,0,0,1
248,0,0,0
249,1,0,0
250,2,0,1
251,0,0,1
252,0,0,0
253,0,0,0
254,3,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,1
260,0,0,0
261,0,0,0
262,0,0,0
263,5,0,0
264,1,0,0
265,4,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,1,0,0
271,0,0,0
272,1,0,3
273,2,2,0
274,2,3,2
275,1,3,3
276,3,1,0
277,2,1,2
278,3,3,0
279,0,2,1
280,0,2,2
281,2,0,3
282,2,0,1
283,3,2,3
284,0,1,0
285,1,1,1
286,2,2,0
287,0,1,1
288,0,3,1
289,0,1,0
290,0,0,3
291,3,1,3
292,0,2,2
293,1,2,0
294,1,0,2
295,3,2,3
296,1,1,2
297,0,3,2
298,0,0,0
299,2,1,1
300,0,1,2
301,3,2,2
302,2,1,3
303,3,2,0
304,3,2,0
305,1,2,0
306,1,1,1
307,0,0,1
308,0,0,3
309,3,2,2
310,2,1,1
311,0,0,1
312,0,1,0
313,3,0,0
314,3,0,0
315,0,1,2
316,2,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,1,0,0
321,2,1,0
322,2,0,0
323,0,0,1
324,2,0,3
325,2,1,3
326,0,0,0
327,0,0,1
328,0,0,2
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,1,0,0
336,0,0,0
337,1,0,0
338,0,0,0
339,2,1,0
340,1,3,0
341,0,0,0
342,3,0,0
343,0,2,2
344,0,0,0
345,0,0,0
346,0,0,0
347,1,0,0
348,3,0,4
349,3,4,4
350,3,1,1
351,2,2,4
352,3,3,3
353,3,4,2
354,4,1,4
355,0,4,4
356,3,0,0
357,0,0,2
358,4,2,1
359,1,0,4
360,2,2,2
361,0,2,1
362,4,1,3
363,0,4,1
364,2,0,4
