Episode_Index,Total_Cost,Fill_Rate,Lost_Sales,Avg_Inventory,Inventory_Turnover,OSA,Total_Holding,Total_Backlog,Total_Ordering
1,213928.3305,59.2899,1181,736.9408,145.9684,100.0,130698.0843,44384.4783,38845.7679
2,211853.3275,60.2463,1162,733.709,149.6947,100.0,130065.565,43859.0317,37928.7309
3,209421.9979,60.3532,1145,738.228,142.4182,100.0,131197.2841,42710.5543,35514.1594
4,208996.4929,61.17,1135,735.6715,143.0534,100.0,130833.132,43598.0279,34565.333
5,209788.0709,59.7611,1179,735.3993,146.7815,100.0,130355.4466,43033.7706,36398.8537
6,213308.1534,58.5316,1220,729.8347,145.2244,100.0,129985.5948,47661.5896,35660.969
7,207137.646,60.8233,1142,734.9534,144.7113,100.0,130635.5332,42212.054,34290.0589
8,212141.2214,60.336,1157,734.5482,143.6236,100.0,130647.4045,43749.39,37744.4269
9,212325.2177,59.6622,1194,731.0564,147.448,100.0,130041.8149,43604.916,38678.4869
10,206580.425,60.5595,1156,734.45,148.9255,100.0,130175.1996,42661.9685,33743.2569
